Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE CLIFT,"999,000",505.91,"1,975",Jul-22,MCCALLUM STREET,Resale,Strata,47,"21,255",-,Apartment,1,99 yrs lease commencing from 2004,01,Core Central Region,16 to 20
RESIDENTIAL APARTMENTS,"1,268,000","1,216.33","1,042",Jul-22,SING AVENUE,Resale,Strata,113,"11,221",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
TREASURES @ G20,"510,000",419.8,"1,215",Jul-22,LORONG 20 GEYLANG,Resale,Strata,39,"13,077",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
EAST COAST RESIDENCES,"1,390,000","1,001.05","1,389",Jul-22,UPPER EAST COAST ROAD,Resale,Strata,93,"14,946",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
DUNMAN REGENCY,"1,368,000",871.88,"1,569",Jul-22,DUNMAN ROAD,Resale,Strata,81,"16,889",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MAYSPRINGS,"900,000",904.18,995,Jul-22,PETIR ROAD,Resale,Strata,84,"10,714",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,11 to 15
BISHAN POINT,"1,280,000",936.47,"1,367",Jul-22,BRIGHT HILL DRIVE,Resale,Strata,87,"14,713",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,26 to 30
CARIBBEAN AT KEPPEL BAY,"3,000,000","1,646.89","1,822",Jul-22,KEPPEL BAY DRIVE,Resale,Strata,153,"19,608",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
PARC RIVIERA,"705,000",462.85,"1,523",Jul-22,WEST COAST VALE,Resale,Strata,43,"16,395",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,06 to 10
NATURA@HILLVIEW,"1,280,000","1,248.62","1,025",Jul-22,HILLVIEW TERRACE,Resale,Strata,116,"11,034",-,Apartment,1,Freehold,23,Outside Central Region,06 to 10
THE SANTORINI,"1,640,000","1,367.03","1,200",Jul-22,TAMPINES STREET 86,Resale,Strata,127,"12,913",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,01 to 05
CHANGI RISE CONDOMINIUM,"1,299,999","1,280.92","1,015",Jul-22,SIMEI RISE,Resale,Strata,119,"10,924",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
VACANZA @ EAST,"1,508,000","1,033.34","1,459",Jul-22,LENGKONG TUJOH,Resale,Strata,96,"15,708",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
THE MEYERISE,"2,089,000",882.65,"2,367",Jul-22,MEYER ROAD,Resale,Strata,82,"25,476",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
SUNNY PALMS,"3,088,888","2,970.86","1,040",Jul-22,LORONG G TELOK KURAU,Resale,Strata,276,"11,192",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE CENTRIS,"1,810,000","1,883.7",961,Jul-22,JURONG WEST CENTRAL 3,Resale,Strata,175,"10,343",-,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,01 to 05
THE SCENIC @ BRADDELL,"1,005,000",839.59,"1,197",Jul-22,BRADDELL ROAD,Resale,Strata,78,"12,885",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05
PARC OASIS,"1,508,888","1,506.96","1,001",Jul-22,JURONG EAST AVENUE 1,Resale,Strata,140,"10,778",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,01 to 05
SPACE @ KOVAN,"800,000",548.96,"1,457",Jul-22,YIO CHU KANG ROAD,Resale,Strata,51,"15,686",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
PINE GROVE,"1,830,000","1,754.53","1,043",Jul-22,PINE GROVE,Resale,Strata,163,"11,227",-,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,11 to 15
TERESA VILLE,"2,350,000","1,356.26","1,733",Jul-22,LOWER DELTA ROAD,Resale,Strata,126,"18,651",-,Condominium,1,Freehold,04,Rest of Central Region,11 to 15
GRANDEUR PARK RESIDENCES,"1,530,000",882.65,"1,733",Jul-22,BEDOK SOUTH AVENUE 3,Resale,Strata,82,"18,659",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,11 to 15
CHANGI RISE CONDOMINIUM,"1,210,000","1,259.39",961,Jul-22,SIMEI RISE,Resale,Strata,117,"10,342",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
GRANDEUR 8,"1,600,000","1,259.39","1,270",Jul-22,ANG MO KIO CENTRAL 3,Resale,Strata,117,"13,675",-,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,11 to 15
SKYSUITES17,"1,135,000",678.13,"1,674",Jul-22,JALAN RAJAH,Resale,Strata,63,"18,016",-,Apartment,1,Freehold,12,Rest of Central Region,21 to 25
DOUBLE BAY RESIDENCES,"1,780,000","1,367.03","1,302",Jul-22,SIMEI STREET 4,Resale,Strata,127,"14,016",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
THE ASTON,"1,880,000","1,011.82","1,858",Jul-22,KAY POH ROAD,Resale,Strata,94,"20,000",-,Apartment,1,Freehold,10,Core Central Region,11 to 15
THE TOMLINSON,"8,800,000","3,692.05","2,383",Jul-22,CUSCADEN ROAD,Resale,Strata,343,"25,656",-,Apartment,1,Freehold,10,Core Central Region,11 to 15
THE AZURE,"3,480,000","1,926.76","1,806",Jul-22,OCEAN DRIVE,Resale,Strata,179,"19,441",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,01 to 05
NORTH PARK RESIDENCES,"1,020,000",624.31,"1,634",Jul-22,YISHUN CENTRAL 1,Resale,Strata,58,"17,586",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
RESIDENCES @ SOMME,"635,000",419.8,"1,513",Jul-22,PETAIN ROAD,Resale,Strata,39,"16,282",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
EVERGREEN PARK,"930,000","1,076.4",864,Jul-22,HOUGANG AVENUE 7,Resale,Strata,100,"9,300",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,06 to 10
EAST MEADOWS,"1,425,000","1,237.86","1,151",Jul-22,TANAH MERAH KECHIL ROAD,Resale,Strata,115,"12,391",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,01 to 05
ASTORIA PARK,"1,250,000","1,173.28","1,065",Jul-22,LORONG MYDIN,Resale,Strata,109,"11,468",-,Condominium,1,99 yrs lease commencing from 1993,14,Outside Central Region,01 to 05
ST PATRICK'S GREEN,"1,800,000","1,097.93","1,639",Jul-22,ST. PATRICK'S ROAD,Resale,Strata,102,"17,647",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RIVER PLACE,"2,250,000","1,431.61","1,572",Jul-22,HAVELOCK ROAD,Resale,Strata,133,"16,917",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
LA FIESTA,"1,300,000","1,001.05","1,299",Jul-22,SENGKANG SQUARE,Resale,Strata,93,"13,978",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
SCOTTS SQUARE,"2,271,400",624.31,"3,638",Jul-22,SCOTTS ROAD,Resale,Strata,58,"39,162",-,Apartment,1,Freehold,09,Core Central Region,31 to 35
